r,r,r,r,r,r,l
0,0.056443,0.439155,0.003467,0.422915,0.414912,1
0.021277,0.051699,0.415055,0.003467,0.422915,0.414912,1
0.042553,0.051489,0.385004,0.003467,0.422915,0.414912,1
0.08583,0.045485,0.314639,0.003467,0.422915,0.414912,1
0.085106,0.042482,0.321116,0.003467,0.422915,0.414912,0
0.106383,0.041161,0.207528,0.003467,0.422915,0.414912,0
0.12766,0.041161,0.171824,0.003467,0.422915,0.414912,0
0.148936,0.041161,0.152782,0.003467,0.422915,0.414912,0
0.170213,0.041161,0.13493,0.003467,0.422915,0.414912,0
0.191489,0.041161,0.140583,0.003467,0.422915,0.414912,0
0.212766,0.044374,0.168997,0.003467,0.422915,0.414912,1
0.234043,0.049868,0.212437,0.003467,0.422915,0.414912,1
0.255319,0.051489,0.298721,0.003467,0.422915,0.414912,1
0.276596,0.042482,0.39036,0.003467,0.422915,0.414912,0
0.297872,0.040861,0.402261,0.003467,0.422915,0.414912,0
0.319149,0.040711,0.462214,0.003467,0.422915,0.414912,0
0.340426,0.040861,0.488248,0.003467,0.422915,0.414912,0
0.361702,0.040711,0.493306,0.003467,0.422915,0.414912,0
0.382979,0.041041,0.53258,0.003467,0.422915,0.414912,0
0.404255,0.041161,0.546415,0.003467,0.422915,0.414912,0
0.425532,0.044374,0.53496,0.003467,0.422915,0.414912,1
0.446809,0.044374,0.51681,0.003467,0.422915,0.414912,1
0.468085,0.044374,0.513984,0.003467,0.422915,0.414912,1
0.489362,0.045485,0.513835,0.003467,0.422915,0.414912,1
0.510638,0.044374,0.505356,0.003467,0.422915,0.414912,1
0.531915,0.044374,0.497917,0.003467,0.422915,0.414912,1
0.553191,0.042482,0.499554,0.003467,0.422915,0.414912,0
0.574468,0.044374,0.491669,0.003467,0.422915,0.414912,1
0.595745,0.044374,0.489735,0.003467,0.422915,0.414912,1
0.617021,0.042482,0.47709,0.003467,0.422915,0.414912,0
0.638298,0.040861,0.466825,0.003467,0.422915,0.414912,0
0.659574,0.041161,0.478132,0.003467,0.422915,0.414912,0
0.680851,0.041161,0.484975,0.003467,0.422915,0.414912,0
0.702128,0.041161,0.503124,0.003467,0.422915,0.414912,0
0.723404,0.042482,0.55296,0.003467,0.422915,0.414912,0
0.744681,0.044374,0.612318,0.003467,0.422915,0.414912,1
0.765957,0.041041,0.587623,0.003467,0.422915,0.414912,0
0.787234,0.040711,0.546861,0.003467,0.422915,0.414912,0
0.808511,0.040711,0.497025,0.003467,0.422915,0.414912,0
0.829787,0.040861,0.470693,0.003467,0.422915,0.414912,0
0.851064,0.041041,0.446296,0.003467,0.422915,0.414912,0
0.87234,0.042482,0.412229,0.003467,0.422915,0.414912,0
0.893617,0.041161,0.368789,0.003467,0.422915,0.414912,0
0.914894,0.051489,0.34573,0.003467,0.422915,0.414912,1
0.93617,0.056443,0.40479,0.003467,0.422915,0.414912,1
0.957447,0.054642,0.42889,0.003467,0.422915,0.414912,1
0.978723,0.059235,0.445254,0.003467,0.422915,0.414912,1
1,0.054642,0.44094,0.003467,0.422915,0.414912,1
0,0.059235,0.442874,0.003467,0.422915,0.414912,1
0.021277,0.056443,0.41089,0.003467,0.422915,0.414912,1
0.042553,0.051489,0.378905,0.003467,0.422915,0.414912,1
0.06383,0.044374,0.316721,0.003467,0.422915,0.414912,0
0.085106,0.041041,0.257959,0.003467,0.422915,0.414912,0
0.106383,0.041161,0.214073,0.003467,0.422915,0.414912,0
0.12766,0.041161,0.178816,0.003467,0.422915,0.414912,0
0.148936,0.040951,0.151889,0.003467,0.422915,0.414912,0
0.170213,0.041011,0.1385,0.003467,0.422915,0.414912,0
0.191489,0.041041,0.142071,0.003467,0.422915,0.414912,0
0.212766,0.051489,0.171675,0.003467,0.422915,0.414912,0
0.234043,0.051489,0.214519,0.003467,0.422915,0.414912,1
0.255319,0.051489,0.30244,0.003467,0.422915,0.414912,0
0.276596,0.051489,0.393038,0.003467,0.422915,0.414912,1
0.297872,0.040861,0.395567,0.003467,0.422915,0.414912,0
0.319149,0.040861,0.456561,0.003467,0.422915,0.414912,0
0.340426,0.040861,0.487504,0.003467,0.422915,0.414912,0
0.361702,0.040861,0.488991,0.003467,0.422915,0.414912,0
0.382979,0.041041,0.52886,0.003467,0.422915,0.414912,0
0.404255,0.041041,0.533323,0.003467,0.422915,0.414912,0
0.425532,0.041041,0.519935,0.003467,0.422915,0.414912,0
0.446809,0.042362,0.502529,0.003467,0.422915,0.414912,0
0.468085,0.042482,0.491818,0.003467,0.422915,0.414912,0
0.489362,0.044374,0.486909,0.003467,0.422915,0.414912,0
0.510638,0.044374,0.480363,0.003467,0.422915,0.414912,0
0.531915,0.042482,0.477388,0.003467,0.422915,0.414912,0
0.553191,0.042482,0.477388,0.003467,0.422915,0.414912,0
0.574468,0.042482,0.47114,0.003467,0.422915,0.414912,0
0.595745,0.041041,0.462065,0.003467,0.422915,0.414912,0
0.617021,0.040861,0.445403,0.003467,0.422915,0.414912,0
0.638298,0.040861,0.442428,0.003467,0.422915,0.414912,0
0.659574,0.040861,0.450759,0.003467,0.422915,0.414912,0
0.680851,0.051498,0.455965,0.003467,0.422915,0.414912,0
0.702128,0.040861,0.484677,0.003467,0.422915,0.414912,0
0.723404,0.041041,0.53377,0.003467,0.422915,0.414912,0
0.744681,0.041041,0.604136,0.003467,0.422915,0.414912,0
0.765957,0.040861,0.587028,0.003467,0.422915,0.414912,0
0.787234,0.040711,0.552812,0.003467,0.422915,0.414912,0
0.808511,0.040711,0.51086,0.003467,0.422915,0.414912,0
0.829787,0.040861,0.480065,0.003467,0.422915,0.414912,0
0.851064,0.041041,0.452246,0.003467,0.422915,0.414912,0
0.87234,0.041041,0.431568,0.003467,0.422915,0.414912,0
0.893617,0.041041,0.3856,0.003467,0.422915,0.414912,0
0.914894,0.041041,0.350342,0.003467,0.422915,0.414912,0
0.93617,0.056443,0.409104,0.003467,0.422915,0.414912,1
0.957447,0.040861,0.435138,0.003467,0.422915,0.414912,1
0.978723,0.059235,0.456412,0.003467,0.422915,0.414912,1
1,0.054642,0.449866,0.003467,0.422915,0.414912,1
0,0.054642,0.44823,0.003467,0.422915,0.414912,1
0.021277,0.054642,0.429485,0.003467,0.422915,0.414912,1
0.042553,0.051489,0.399286,0.003467,0.422915,0.414912,1
0.06383,0.041041,0.331449,0.003467,0.422915,0.414912,0
